PumpTime,StageNumber,FluidDescription,StageDescription,ProppantType,CleanVolume,SlurryVolume,TreatingPressure,CleanRate,SlurryRate,SlurryProppantConcentration,BHProppantConc,BacksidePressure,HydrostaticPressure,TreatmentCleanVolume,ProppantVolume,TreatmentProppantVolume,TreatmentSlurryVolume,TRANSCEND-350W_conc,TRANSCEND-350W_rate,TRANSCEND-350W_totalvol,OPTIKLEEN-WF_conc,OPTIKLEEN-WF_rate,OPTIKLEEN-WF_totalvol,KEMFLOW A-4387_conc,KEMFLOW A-4387_rate,KEMFLOW A-4387_totalvol,MC B-8614_conc,MC B-8614_rate,MC B-8614_totalvol
2021-07-01 10:30:24,1,FR Water,Pad,,0,0,466.43,0,0,0,0,121.712755,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:25,1,FR Water,Pad,,0,0,467.08,0,0,0,0,121.722019,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:26,1,FR Water,Pad,,0,0,467.68,0,0,0,0,121.671916,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:27,1,FR Water,Pad,,0,0,468.27,0,0,0,0,121.619398,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:28,1,FR Water,Pad,,0,0,468.79,0,0,0,0,121.620212,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:29,1,FR Water,Pad,,0,0,469.32,0,0,0,0,121.611233,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:30,1,FR Water,Pad,,0,0,469.84,0,0,0,0,121.601685,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:31,1,FR Water,Pad,,0,0,470.4,0,0,0,0,121.694078,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:32,1,FR Water,Pad,,0,0,470.95,0,0,0,0,121.73485,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:33,1,FR Water,Pad,,0,0,471.48,0,0,0,0,121.755629,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:34,1,FR Water,Pad,,0,0,471.98,0,0,0,0,121.732164,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:35,1,FR Water,Pad,,0,0,500.13,0,0,0,0,121.71464,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:36,1,FR Water,Pad,,0,0,1046.5,0,0,0,0,121.764852,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:37,1,FR Water,Pad,,0,0,1324.57,0,0,0,0,121.794352,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:38,1,FR Water,Pad,,0,0,1615.13,0,0,0,0,121.713406,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:39,1,FR Water,Pad,,0,0,1644.09,0,0,0,0,121.614678,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:40,1,FR Water,Pad,,0,0,1648.39,0,0,0,0,121.626777,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:41,1,FR Water,Pad,,0,0,1651.21,0,0,0,0,121.733453,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:42,1,FR Water,Pad,,0,0,1652.59,0,0,0,0,121.780287,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:43,1,FR Water,Pad,,0,0,1652.81,0,0,0,0,121.775987,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:44,1,FR Water,Pad,,0,0,1652.14,0,0,0,0,121.767158,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
